ID_Turno,Fecha,Anio,Actor_Final,Rol_Final,Grupo_Actor,Naturaleza_Turno,Palabras,Lex_Score,HD_Score_Modelo,HD_Clase_Modelo,Margen,HD_Confianza_Modelo,En_Universo_Entrenado,En_Muestra_500,HD_Score_Oro,HD_Clase_Oro
RPM-2009-12-15:T7,2009-12-15,2009,Manuel Marfán Lewis,Vicepresidente del Banco Central,CONSEJO,INTERVENCION,30,0.0,0.0392,NEUTRAL,0.9189,0.959,false,false,,
RPM-2009-12-15:T8,2009-12-15,2009,Pablo García Silva,Gerente de División Estudios,STAFF,INTERVENCION,36,0.0,-0.0368,NEUTRAL,0.8886,0.938,false,false,,
RPM-2009-12-15:T9,2009-12-15,2009,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,25,0.0,-0.2318,NEUTRAL,0.4764,0.7282,false,false,,
RPM-2009-12-15:T10,2009-12-15,2009,Beltrán de Ramón Acevedo,Gerente de División Operaciones Financieras,STAFF,INTERVENCION,60,-0.4286,-0.7136,DOVISH,0.4374,0.717,false,false,,
RPM-2009-12-15:T11,2009-12-15,2009,Enrique Marshall Rivera,Consejero,CONSEJO,INTERVENCION,27,0.0,0.3209,NEUTRAL,0.2725,0.622,false,false,,
RPM-2009-12-15:T12,2009-12-15,2009,Beltrán de Ramón Acevedo,Gerente de División Operaciones Financieras,STAFF,INTERVENCION,20,0.0,0.0309,NEUTRAL,0.8917,0.9381,false,false,,
RPM-2009-12-15:T13,2009-12-15,2009,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,INTERVENCION,324,0.0,-0.0156,NEUTRAL,0.9623,0.9801,true,false,,
RPM-2009-12-15:T14,2009-12-15,2009,Manuel Marfán Lewis,Vicepresidente del Banco Central,CONSEJO,INTERVENCION,24,0.0,0.0067,NEUTRAL,0.9754,0.9859,false,false,,
RPM-2009-12-15:T15,2009-12-15,2009,Beltrán de Ramón Acevedo,Gerente de División Operaciones Financieras,STAFF,INTERVENCION,24,0.0,0.8393,HAWKISH,0.8393,0.9061,false,false,,
RPM-2009-12-15:T16,2009-12-15,2009,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,39,0.0,0.0023,NEUTRAL,0.9097,0.9406,false,false,,
RPM-2009-12-15:T17,2009-12-15,2009,Kevin Cowan Logan,Gerente de División de Política Financiera,STAFF,INTERVENCION,39,0.0,-0.0066,NEUTRAL,0.9435,0.9645,false,false,,
RPM-2009-12-15:T18,2009-12-15,2009,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,51,0.0,-0.0034,NEUTRAL,0.9863,0.992,false,false,,
RPM-2009-12-15:T19,2009-12-15,2009,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,INTERVENCION,264,0.0,-0.0193,NEUTRAL,0.9571,0.9778,true,false,,
RPM-2009-12-15:T20,2009-12-15,2009,Enrique Marshall Rivera,Consejero,CONSEJO,INTERVENCION,27,0.0,0.0836,NEUTRAL,0.8154,0.9048,false,false,,
RPM-2009-12-15:T21,2009-12-15,2009,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,INTERVENCION,54,0.0,0.1124,NEUTRAL,0.6198,0.784,false,false,,
RPM-2009-12-15:T22,2009-12-15,2009,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,INTERVENCION,152,0.0,-0.0031,NEUTRAL,0.9764,0.9853,true,false,,
RPM-2009-12-15:T23,2009-12-15,2009,Manuel Marfán Lewis,Vicepresidente del Banco Central,CONSEJO,INTERVENCION,81,0.0,0.0068,NEUTRAL,0.9298,0.9555,false,false,,
RPM-2009-12-15:T24,2009-12-15,2009,Sergio Lehmann Beresi,Gerente de Análisis Internacional,STAFF,INTERVENCION,308,0.0,-0.1049,NEUTRAL,0.754,0.871,true,false,,
RPM-2009-12-15:T25,2009-12-15,2009,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,19,0.0,-0.7351,DOVISH,0.6095,0.7815,false,false,,
RPM-2009-12-15:T26,2009-12-15,2009,Manuel Marfán Lewis,Vicepresidente del Banco Central,CONSEJO,INTERVENCION,33,0.0,0.0044,NEUTRAL,0.8729,0.9167,false,false,,
RPM-2009-12-15:T27,2009-12-15,2009,Enrique Marshall Rivera,Consejero,CONSEJO,INTERVENCION,67,0.0,0.017,NEUTRAL,0.9574,0.9773,false,false,,
RPM-2009-12-15:T28,2009-12-15,2009,Sebastián Claro Edwards,Consejero,CONSEJO,INTERVENCION,52,0.0,0.0419,NEUTRAL,0.9059,0.9513,false,false,,
RPM-2009-12-15:T29,2009-12-15,2009,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,25,0.0,0.0185,NEUTRAL,0.8918,0.934,false,false,,
RPM-2009-12-15:T30,2009-12-15,2009,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,INTERVENCION,800,0.0,-0.0318,NEUTRAL,0.9278,0.9625,true,true,0.0,NEUTRAL
RPM-2009-12-15:T31,2009-12-15,2009,Sebastián Claro Edwards,Consejero,CONSEJO,INTERVENCION,89,0.0,-0.0214,NEUTRAL,0.9402,0.9673,false,false,,
RPM-2009-12-15:T32,2009-12-15,2009,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,INTERVENCION,28,0.0,0.0608,NEUTRAL,0.8625,0.9286,false,false,,
RPM-2009-12-15:T33,2009-12-15,2009,Ricardo Vicuña Poblete,Gerente de División de Estadísticas,STAFF,INTERVENCION,53,0.0,-0.0203,NEUTRAL,0.9258,0.9573,false,false,,
RPM-2009-12-15:T34,2009-12-15,2009,Manuel Marfán Lewis,Vicepresidente del Banco Central,CONSEJO,INTERVENCION,132,0.0,-0.2716,NEUTRAL,0.38,0.6772,false,false,,
RPM-2009-12-15:T35,2009-12-15,2009,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,INTERVENCION,222,0.0,-0.0336,NEUTRAL,0.8652,0.9213,true,false,,
RPM-2009-12-15:T36,2009-12-15,2009,Manuel Marfán Lewis,Vicepresidente del Banco Central,CONSEJO,INTERVENCION,82,-0.5,0.152,NEUTRAL,0.3552,0.6208,false,false,,
RPM-2009-12-15:T37,2009-12-15,2009,Enrique Marshall Rivera,Consejero,CONSEJO,INTERVENCION,26,0.0,0.0347,NEUTRAL,0.9073,0.9498,false,false,,
RPM-2009-12-15:T38,2009-12-15,2009,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,INTERVENCION,30,0.0,0.0056,NEUTRAL,0.9457,0.9657,false,false,,
RPM-2009-12-15:T39,2009-12-15,2009,Enrique Marshall Rivera,Consejero,CONSEJO,INTERVENCION,76,0.0,0.0225,NEUTRAL,0.9269,0.9588,false,false,,
RPM-2009-12-15:T40,2009-12-15,2009,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,INTERVENCION,75,0.0,-0.0812,NEUTRAL,0.7651,0.8705,false,false,,
RPM-2009-12-15:T41,2009-12-15,2009,Enrique Marshall Rivera,Consejero,CONSEJO,INTERVENCION,42,0.0,-0.0036,NEUTRAL,0.9471,0.9659,false,false,,
RPM-2009-12-15:T42,2009-12-15,2009,Claudio Soto Gamboa,Gerente de Análisis Macroeconómico,STAFF,INTERVENCION,748,0.0,-0.1142,NEUTRAL,0.7527,0.8732,true,false,,
RPM-2009-12-15:T43,2009-12-15,2009,José De Gregorio Rebeco,Presidente del Banco Central,CONSEJO,INTERVENCION,39,0.0,-0.5496,DOVISH,0.4496,0.6664,false,false,,
RPM-2009-12-15:T44,2009-12-15,2009,Enrique Marshall Rivera,Consejero,CONSEJO,INTERVENCION,48,0.0,0.0559,NEUTRAL,0.8533,0.9208,false,false,,
RPM-2009-12-15:T45,2009-12-15,2009,Pablo García Silva,Gerente de División Estudios,STAFF,INTERVENCION,42,0.0,0.0011,NEUTRAL,0.6474,0.7653,false,false,,
