"ID_Intervencion","ID_Padre","Fecha","Actor_Final","Institucional","Fuente_Actor","Caracteres","Otras_Personas_Roster","Nombres","Motivos_Revision","Alerta_Motor","Leida_En_Lote9","Veredicto"
"RPM-2005-10-11:401:1","401","2005-10-11","Consejo del Banco Central de Chile","SI","ACTA/META","1384","13","Beltrán de Ramón Acevedo; Enrique Marshall Rivera; Esteban Jadresic Marinovic; Jorge Desormeaux Jiménez; José De Gregorio Rebeco; Luis Óscar Herrera Barriga; Manuel Marfán Lewis; María Elena Ovalle Molina; Nicolás Eyzaguirre Guzmán; Pablo García Silva; Ricardo Vicuña Poblete; Rodrigo Valdés Pulido; Vittorio Corbo Lioi","","NO","NO",""
"RPM-2005-10-11:403:1","403","2005-10-11","Vittorio Corbo Lioi","NO","SUJETO_ROL_NOMBRE","296","1","Pablo García Silva","","NO","SI","UNA_SOLA_VOZ"
"RPM-2005-11-10:450:1","450","2005-11-10","Consejo del Banco Central de Chile","SI","ACTA/META","1462","14","Beltrán de Ramón Acevedo; Enrique Marshall Rivera; Esteban Jadresic Marinovic; Jorge Desormeaux Jiménez; José De Gregorio Rebeco; Luis Óscar Herrera Barriga; Manuel Marfán Lewis; María Elena Ovalle Molina; Nicolás Eyzaguirre Guzmán; Pablo García Silva; Ricardo Vicuña Poblete; Rodrigo Valdés Pulido; Sergio Lehmann Beresi; Vittorio Corbo Lioi","","NO","NO",""
"RPM-2005-11-10:491:3","491","2005-11-10","Vittorio Corbo Lioi","NO","SUJETO_ROL_SESION","452","1","Nicolás Eyzaguirre Guzmán","","NO","SI","UNA_SOLA_VOZ"
"RPM-2005-12-13:505:1","505","2005-12-13","Consejo del Banco Central de Chile","SI","ACTA/META","1668","13","Beltrán de Ramón Acevedo; Enrique Marshall Rivera; Esteban Jadresic Marinovic; Jorge Desormeaux Jiménez; José De Gregorio Rebeco; Luis Óscar Herrera Barriga; Manuel Marfán Lewis; Nicolás Eyzaguirre Guzmán; Pablo García Silva; Ricardo Vicuña Poblete; Rodrigo Valdés Pulido; Sergio Lehmann Beresi; Vittorio Corbo Lioi","","NO","NO",""
"RPM-2005-12-13:506:1","506","2005-12-13","Vittorio Corbo Lioi","NO","SUJETO_ROL_NOMBRE","547","1","Sergio Lehmann Beresi","","NO","SI","UNA_SOLA_VOZ"
"RPM-2006-01-12:527:1","527","2006-01-12","Consejo del Banco Central de Chile","SI","ACTA/META","1607","13","Beltrán de Ramón Acevedo; Enrique Marshall Rivera; Esteban Jadresic Marinovic; Jorge Desormeaux Jiménez; José De Gregorio Rebeco; Luis Óscar Herrera Barriga; Manuel Marfán Lewis; Nicolás Eyzaguirre Guzmán; Pablo García Silva; Ricardo Vicuña Poblete; Rodrigo Valdés Pulido; Sergio Lehmann Beresi; Vittorio Corbo Lioi","","NO","NO",""
"RPM-2006-01-12:529:1","529","2006-01-12","Vittorio Corbo Lioi","NO","SUJETO_ROL_NOMBRE","387","3","Pablo García Silva; Rodrigo Valdés Pulido; Sergio Lehmann Beresi","","NO","SI","UNA_SOLA_VOZ"
"RPM-2006-01-12:530:1","530","2006-01-12","Vittorio Corbo Lioi","NO","SUJETO_ROL_NOMBRE","151","1","Sergio Lehmann Beresi","","NO","SI","UNA_SOLA_VOZ"
"RPM-2006-01-12:556:1","556","2006-01-12","Vittorio Corbo Lioi","NO","SUJETO_ROL_NOMBRE","159","1","Rodrigo Valdés Pulido","","NO","SI","UNA_SOLA_VOZ"
"RPM-2006-02-09:575:1","575","2006-02-09","Consejo del Banco Central de Chile","SI","ACTA/META","1346","13","Beltrán de Ramón Acevedo; Enrique Marshall Rivera; Esteban Jadresic Marinovic; Jorge Desormeaux Jiménez; José De Gregorio Rebeco; Luis Óscar Herrera Barriga; Manuel Marfán Lewis; Miguel Ángel Nacrur Gazali; Nicolás Eyzaguirre Guzmán; Pablo García Silva; Ricardo Vicuña Poblete; Rodrigo Valdés Pulido; Vittorio Corbo Lioi","","NO","NO",""
"RPM-2006-02-09:576:1","576","2006-02-09","Vittorio Corbo Lioi","NO","SUJETO_ROL_NOMBRE","572","1","Nicolás Eyzaguirre Guzmán","","NO","SI","UNA_SOLA_VOZ"
"RPM-2006-02-09:576:3","576","2006-02-09","Vittorio Corbo Lioi","NO","SUJETO_ROL_SESION","545","2","Pablo García Silva; Rodrigo Valdés Pulido","","NO","SI","UNA_SOLA_VOZ"
"RPM-2006-02-09:577:1","577","2006-02-09","Vittorio Corbo Lioi","NO","SUJETO_ROL_SESION","142","1","Pablo García Silva","","NO","SI","UNA_SOLA_VOZ"
"RPM-2006-02-09:587:5","587","2006-02-09","Manuel Marfán Lewis","NO","SUJETO_ROL_NOMBRE","318","1","Nicolás Eyzaguirre Guzmán","","NO","SI","UNA_SOLA_VOZ"
"RPM-2006-02-09:587:10","587","2006-02-09","Vittorio Corbo Lioi","NO","SUJETO_ROL_SESION","464","2","Nicolás Eyzaguirre Guzmán; Rodrigo Valdés Pulido","","NO","SI","UNA_SOLA_VOZ"
"RPM-2006-02-09:595:1","595","2006-02-09","Consejo del Banco Central de Chile","SI","ACTA/META","119","1","José De Gregorio Rebeco","","NO","NO",""
"RPM-2006-03-16:596:1","596","2006-03-16","Consejo del Banco Central de Chile","SI","ACTA/META","1403","12","Andrés Velasco Brañes; Enrique Marshall Rivera; Jorge Desormeaux Jiménez; José De Gregorio Rebeco; Luis Felipe Céspedes Cifuentes; Luis Óscar Herrera Barriga; Manuel Marfán Lewis; Miguel Ángel Nacrur Gazali; Pablo García Silva; Ricardo Vicuña Poblete; Rodrigo Valdés Pulido; Vittorio Corbo Lioi","","NO","NO",""
"RPM-2006-03-16:597:1","597","2006-03-16","Vittorio Corbo Lioi","NO","SUJETO_ROL_NOMBRE","606","1","Andrés Velasco Brañes","","NO","SI","UNA_SOLA_VOZ"
"RPM-2006-03-16:598:1","598","2006-03-16","Rodrigo Valdés Pulido","NO","SUJETO_ROL_NOMBRE","340","1","Pablo García Silva","","NO","SI","UNA_SOLA_VOZ"
"RPM-2006-03-16:599:1","599","2006-03-16","Vittorio Corbo Lioi","NO","SUJETO_ROL_SESION","733","2","Luis Felipe Céspedes Cifuentes; Pablo García Silva","","NO","SI","UNA_SOLA_VOZ"
"RPM-2006-04-13:626:1","626","2006-04-13","Consejo del Banco Central de Chile","SI","ACTA/META","1631","14","Andrés Velasco Brañes; Beltrán de Ramón Acevedo; Enrique Marshall Rivera; Esteban Jadresic Marinovic; Igal Magendzo Weinberger; Jorge Desormeaux Jiménez; José De Gregorio Rebeco; Luis Felipe Céspedes Cifuentes; Luis Óscar Herrera Barriga; Manuel Marfán Lewis; Ricardo Vicuña Poblete; Rodrigo Valdés Pulido; Sergio Lehmann Beresi; Vittorio Corbo Lioi","","NO","NO",""
"RPM-2006-04-13:628:1","628","2006-04-13","Vittorio Corbo Lioi","NO","SUJETO_ROL_SESION","283","1","Sergio Lehmann Beresi","FINAL_SIN_PUNTUACION","NO","SI","UNA_SOLA_VOZ"
